,Time Threshold Circuities,,,,,,,,,ln(Time Threshold Circuities),,,,,,,,,ln(C)-ln(t),,,,C-ln(t),,,ln(C)-t,C-t
,10,20,30,40,50,60,70,80,90,2.302585092994046,2.995732273553991,3.4011973816621555,3.6888794541139363,3.912023005428146,4.0943445622221,4.248495242049359,4.382026634673881,4.499809670330265,Zeta,,Y-Intercept,r2,Zeta,Y-Intercept,r2,r2,r2
"Rochester, NY",1.3054372101690606,1.2619074783498458,1.235017216450139,1.2194277529157018,1.2093921289472145,1.2027779213679537,1.1983418382894222,1.1972716138765835,1.1976784755170091,0.26653801161513163,0.2326244479210314,0.21108491042823005,0.19838169371733363,0.19011786060627353,0.18463381593445943,0.18093879980051183,0.1800453130127587,0.18038507929527248,-0.040538882896848726,0.35375775160176903,1.4244100836200875,0.967622523359301,-0.05046078709332866,1.41321713689305,0.9644709970489449,0.787732296775324,0.7796660641931228
Sacramento,1.4338792967235054,1.4013492588209344,1.4014419587257636,1.400056122836252,1.3967920476447633,1.3967267442968094,1.3968698866346807,1.396881747806089,1.3982014018055617,0.3603835661964494,0.3374355288069487,0.33750167708391104,0.33651232355790095,0.33417821282007193,0.33413145935046645,0.33423393823837144,0.3342424294523092,0.33518669767396186,-0.009658990968184514,0.3741804896374562,1.4537995225271751,0.6783274910385374,-0.013659695904533113,1.4533490050195619,0.6769675228248282,0.41659912452732667,0.4152615573877485
Salt Lake City,1.3973954385618328,1.375166222769001,1.37473562290319,1.3815334547515212,1.3850097173055014,1.389992556329186,1.392535279077659,1.3909277673330938,1.3874547008609153,0.3346101028986206,0.3185746130985598,0.3182614383792453,0.32319408133967903,0.32570715571974423,0.32929839196940247,0.3311260275631209,0.32997098300425237,0.32747091807732487,0.0008144289142345087,0.32343443407779465,1.3818655500085726,0.01097064097609346,0.0011056230168543333,1.3819649605642677,0.010539247678809434,0.09349352864999477,0.09237283907348269
San Antonio,1.4317823771593792,1.3730841421652697,1.3398515854253352,1.3117239067101567,1.2913153607253793,1.2757965860482567,1.2642616847774233,1.2555532060267511,1.2491587964112882,0.3589200857322355,0.31705940834964635,0.2925588506835222,0.2713422314182117,0.25566135835100623,0.2435707568919422,0.23448830339316246,0.2275762770741972,0.22247036190208594,-0.06376067791132717,0.5068033678589123,1.6599763708823392,0.9984554222169456,-0.08503704601016902,1.6270447275938387,0.9982380166522591,0.9079965466083755,0.8968970165361512
San Diego,1.4519495177769537,1.4206259686722074,1.4062579681100151,1.4002313458230131,1.3933131344330476,1.3922798957924276,1.388411640565134,1.3873822171543784,1.387483914467795,0.37290714842696127,0.3510975974878485,0.3409322531661066,0.3366374699858666,0.33168446094508847,0.3309426162629729,0.3281603891284675,0.32741867449783174,0.3274919733948872,-0.0203293398905369,0.41431284446665084,1.5133304899060138,0.9469284889345114,-0.028783619686922904,1.510323237644545,0.9443011378094717,0.7438685914735119,0.7389377219582276
San Francisco,1.4529772069649314,1.4357618484653247,1.424503733426794,1.4139365512475086,1.4012673218427656,1.3884703455577154,1.380969480590264,1.3779719461955984,1.3798353964556946,0.37361469758618693,0.36169561318534776,0.3538234958206217,0.34637769464831,0.337377057035421,0.32820267035819456,0.3227857746827866,0.3206128140356105,0.32196421412427917,-0.02631599221684763,0.4387444584751949,1.5507589534424127,0.9646149398062948,-0.03719871149248544,1.5447537894228187,0.9667203684112617,0.9433660254232321,0.9414424302286477
San Jose,1.3990667972183513,1.4014055067960625,1.3973659459287573,1.4014142336739903,1.4030034944504302,1.400679724544437,1.390719665503456,1.369575739479599,1.353868833118102,0.33580544094691706,0.33747566644283866,0.33458899724484975,0.3374818936559568,0.3386152918160319,0.3369576363274528,0.3298213581254345,0.3145010126675531,0.30296629617722226,-0.01027070309583138,0.36805998590261013,1.4449287117272618,0.3464994234341149,-0.014176606173299838,1.4435968872879794,0.3469351606522626,0.5852356007771704,0.5858777095999842
Seattle,1.4725838457083096,1.4789578076803838,1.4529281790243918,1.43645368206512,1.4185698685624268,1.405297756277678,1.398191420136368,1.3911691748531416,1.3877189496448212,0.387018575980799,0.39133765572227297,0.3735809539269607,0.36217735531494843,0.34964922929693243,0.3402492065088125,0.33517955871328703,0.3301445265763639,0.32766135573491534,-0.03205282524738388,0.47461915280758044,1.6074019063953717,0.8958821222095038,-0.045936592346699535,1.59798880322689,0.8968486877430525,0.9485794594477206,0.9460093546911557
South Florida,1.336871859668785,1.2828613575676235,1.2629261489074812,1.2494539986202935,1.2404318709255826,1.2361288587570294,1.2330872661002497,1.2273165367301029,1.2208577984067597,0.2903324518429176,0.24909301866245864,0.23343136890141705,0.22270665478505347,0.21545960198500066,0.21198460825915064,0.2095209971037382,0.20483010860380357,0.19955372512487302,-0.03885524269886267,0.37105979695595004,1.4492697327140036,0.9666731586118207,-0.04951998454189234,1.4388997553898475,0.9619428204688409,0.7926548182691862,0.7822399511673492
St. Louis,1.443560196227148,1.399372508003506,1.3725412244961106,1.3484888260380745,1.3285645889956852,1.313394987102012,1.3009918403315728,1.293200263777403,1.286841212715055,0.3671124208288847,0.3360239275768042,0.31666393001321513,0.29898457734757666,0.28409910302288177,0.2726153780337923,0.2631269276671742,0.2571199708417485,0.2521905431585373,-0.05429213963666907,0.4964539806878949,1.642885226711615,0.9945563844841898,-0.07388067697796834,1.6182013597442388,0.9962135107520691,0.9356888360494332,0.9278703339788521
Tampa Bay,1.3634427948695305,1.3116335868847857,1.288975134924683,1.2770054812680482,1.270428052024559,1.264854950694025,1.2632713910422415,1.261409388199902,1.2582428496249867,0.31001296779891285,0.27127337322741824,0.25384743356516026,0.2445178693419329,0.23935389252053557,0.23495745212213962,0.23370469838689864,0.23222965790237296,0.22971618386461212,-0.03513039474718476,0.3808181434325976,1.4634814374975902,0.9404256249815143,-0.04585289132221686,1.455165121107291,0.9355082769068658,0.7312648716680633,0.7225829771195913
Washington,1.428075576367832,1.358607266196716,1.3128038200118335,1.290355289731063,1.2769936789718903,1.271908405391577,1.267661900840625,1.2644910226602037,1.2618164588235785,0.3563277871442672,0.30646010605806545,0.2721651706096153,0.2549175988490697,0.24450862713360194,0.24051845398525024,0.23717418074474939,0.23466968758524634,0.232552316793719,-0.05668615726083258,0.475522515650746,1.6088546296209416,0.9516004171074437,-0.0756848816353993,1.58556179316781,0.9460501078373876,0.7534598601580895,0.7418285890645782
,,,,,,,,,,,,,,,,,,,,,Mean rsq,0.8815788984484625,,,0.8791998718296303,0.7403437937417415,0.7329303883071926
